condition,replicate,GFP,log_GFP
none+Reporter,1,1622,3.2100508498751372
pCM2-Gal4:VP16+Reporter,1,51632,4.71291894805983
pCM2-Gal4:VP16+Reporter,2,34073,4.5324103732534375
none+Reporter,3,1814,3.2586372827240764
pCH1-Gal4:VP16+Reporter,1,81123,4.909144002878739
pCH1-Gal4:VP16+Reporter,2,76002,4.88082502093257
pCH1-Gal4:VP16+Reporter,3,143637,5.157266325881412
none+Reporter,1,1256,3.0989896394011773
pCM2-Gal4:VP16+Reporter,1,34812,4.541728974850289
pCM2-Gal4:VP16+Reporter,3,54056,4.732843905916918
none+Reporter,2,1421,3.15259407792747
none+Reporter,3,1246,3.095518042323151
pCH1-Gal4:VP16+Reporter,1,93477,4.970704765932935
pCH1-Gal4:VP16+Reporter,2,43854,4.642009212267617
pCH1-Gal4:VP16+Reporter,3,142669,5.154329617182559
none+Reporter,1,1276,3.1058506743851435
pCM2-Gal4:VP16+Reporter,2,26086,4.416407489943098
pCM2-Gal4:VP16+Reporter,3,69802,4.843867866412847
none+Reporter,2,1393,3.1439511164239633
none+Reporter,3,1431,3.1556396337597765
pCH1-Gal4:VP16+Reporter,1,82240,4.9150831016512
pCH1-Gal4:VP16+Reporter,2,80080,4.903524064471262
pCH1-Gal4:VP16+Reporter,3,99390,4.997342690601623
pCM2-Gal4:VP16+Reporter,1,107621,5.031897023135714
pCM2-Gal4:VP16+Reporter,2,32849,4.516522153162396
pCM2-Gal4:VP16+Reporter,3,57886,4.762573540274233
none+Reporter,2,1436,3.1571544399062814
none+Reporter,3,1406,3.147985320683805
pCH1-Gal4:VP16+Reporter,2,61425,4.788345165152118
pCH1-Gal4:VP16+Reporter,3,138722,5.142145341541466
pCM2-Gal4:VP16+Reporter,1,55612,4.745168514090475
pCM2-Gal4:VP16+Reporter,2,38912,4.590083553256622
pCM2-Gal4:VP16+Reporter,3,62315,4.7945925993576415
none+Reporter,2,1706,3.231979026831504
none+Reporter,3,1888,3.27600198996205
pCH1-Gal4:VP16+Reporter,1,88075,4.94485265185328
pCH1-Gal4:VP16+Reporter,2,59803,4.776722970790514
none+Reporter,1,1368,3.1360860973840974
pCM2-Gal4:VP16+Reporter,3,43486,4.638349461520909
none+Reporter,2,1439,3.158060793936605
none+Reporter,3,1323,3.1215598441875008
pCH1-Gal4:VP16+Reporter,3,87620,4.942603248842157
none+Reporter,1,1668,3.22219604630172
pCM2-Gal4:VP16+Reporter,1,56022,4.748358609190499
pCM2-Gal4:VP16+Reporter,2,37675,4.5760532609866695
pCH1-Gal4:VP16+Reporter,1,106088,5.02566626204913
pCH1-Gal4:VP16+Reporter,2,65660,4.817300878393321
none+Reporter,1,1359,3.1332194567324945
pCM2-Gal4:VP16+Reporter,1,67867,4.831658652016843
pCM2-Gal4:VP16+Reporter,2,22882,4.359493981266232
pCM2-Gal4:VP16+Reporter,3,72686,4.861450769755143
none+Reporter,2,1240,3.093421685162235
pCH1-Gal4:VP16+Reporter,1,130638,5.116069522956317
pCH1-Gal4:VP16+Reporter,3,104593,5.01950261987446
pCL3-Gal4:VP16+Reporter,1,8743,3.941660478388392
pCL3-Gal4:VP16+Reporter,3,6922,3.8402315949581087
pCH5-Gal4:VP16+Reporter,2,41923,4.622452353098466
pCH5-Gal4:VP16+Reporter,3,29859,4.475075258789065
pCH4-Gal4:VP16+Reporter,1,93212,4.969471826498887
pCH4-Gal4:VP16+Reporter,2,80304,4.904737178337982
pCH4-Gal4:VP16+Reporter,3,73808,4.868103437264192
pCL1-Gal4:VP16+Reporter,1,4742,3.675961549642169
pCL1-Gal4:VP16+Reporter,2,12349,4.091631790626808
pCL1-Gal4:VP16+Reporter,3,2138,3.330007700872759
pCH5-Gal4:VP16+Reporter,1,35588,4.551303581896227
pCL3-Gal4:VP16+Reporter,3,6447,3.8093576702111056
pCH5-Gal4:VP16+Reporter,2,61529,4.789079856774831
pCH5-Gal4:VP16+Reporter,3,45635,4.659298054866162
pCH4-Gal4:VP16+Reporter,2,114492,5.058775141896555
pCH4-Gal4:VP16+Reporter,3,64201,4.807541792727725
pCL1-Gal4:VP16+Reporter,1,4938,3.6935510855959133
pCL1-Gal4:VP16+Reporter,2,16282,4.211707750406687
pCH5-Gal4:VP16+Reporter,1,72898,4.86271561335393
pCL3-Gal4:VP16+Reporter,1,9676,3.985695859689842
pCL3-Gal4:VP16+Reporter,2,6287,3.7984434603501875
pCH5-Gal4:VP16+Reporter,2,100940,5.004063300397667
pCH5-Gal4:VP16+Reporter,3,42798,4.631423474404327
pCH4-Gal4:VP16+Reporter,1,99161,4.996340897808289
pCH4-Gal4:VP16+Reporter,2,109254,5.038437346293503
pCH4-Gal4:VP16+Reporter,3,106194,5.0260999796408985
pCL1-Gal4:VP16+Reporter,1,5219,3.71758729685546
pCL1-Gal4:VP16+Reporter,2,14417,4.158874898455997
pCL1-Gal4:VP16+Reporter,3,2231,3.348499570283838
pCH5-Gal4:VP16+Reporter,1,35537,4.550680762286439
pCL3-Gal4:VP16+Reporter,1,7995,3.9028184680822533
pCL3-Gal4:VP16+Reporter,2,6290,3.798650645445269
pCL3-Gal4:VP16+Reporter,3,6374,3.804412059137714
pCH4-Gal4:VP16+Reporter,2,40180,4.6040099324122306
pCH4-Gal4:VP16+Reporter,3,73206,4.864546677507894
pCL1-Gal4:VP16+Reporter,2,18126,4.2583019756569245
pCL1-Gal4:VP16+Reporter,3,2332,3.3677285460869766
pCH5-Gal4:VP16+Reporter,1,42591,4.629317837053872
pCL3-Gal4:VP16+Reporter,1,10484,4.020527012274563
pCL3-Gal4:VP16+Reporter,2,8514,3.9301336458411176
pCL3-Gal4:VP16+Reporter,3,6598,3.8194123112093252
pCH5-Gal4:VP16+Reporter,2,56795,4.754310103880201
pCH4-Gal4:VP16+Reporter,1,93770,4.972063916008022
pCH4-Gal4:VP16+Reporter,2,48065,4.6818289466480945
pCL1-Gal4:VP16+Reporter,1,5374,3.7302976620971497
pCL1-Gal4:VP16+Reporter,2,8528,3.930847191682497
pCH5-Gal4:VP16+Reporter,1,72792,4.862083652022269
pCL3-Gal4:VP16+Reporter,2,6272,3.797406049676382
pCH5-Gal4:VP16+Reporter,3,48252,4.683515319150536
pCH4-Gal4:VP16+Reporter,1,91041,4.959237019394765
pCH4-Gal4:VP16+Reporter,2,63271,4.801204698550343
pCH4-Gal4:VP16+Reporter,3,65016,4.813020246744774
pCL1-Gal4:VP16+Reporter,1,3357,3.5259513412480126
pCL1-Gal4:VP16+Reporter,3,2343,3.369772288596963
pCL3-Gal4:VP16+Reporter,1,13560,4.132259689531044
pCL3-Gal4:VP16+Reporter,2,7596,3.88058495606498
pCL3-Gal4:VP16+Reporter,3,7036,3.8473258307854237
pCH5-Gal4:VP16+Reporter,2,78812,4.896592348669833
pCH5-Gal4:VP16+Reporter,3,45390,4.656960182742849
pCH4-Gal4:VP16+Reporter,1,60314,4.780418131659841
pCH4-Gal4:VP16+Reporter,3,94363,4.974801739576156
pCL1-Gal4:VP16+Reporter,2,13384,4.126585927954338
pCL1-Gal4:VP16+Reporter,3,2608,3.4163075870598827
pCH5-Gal4:VP16+Reporter,1,92321,4.965300500015835
pCL3-Gal4:VP16+Reporter,1,5164,3.712986233594383
pCL3-Gal4:VP16+Reporter,2,5885,3.7697464671794534
pCL3-Gal4:VP16+Reporter,3,7266,3.861295393526696
pCH5-Gal4:VP16+Reporter,2,62880,4.798512533031351
pCH5-Gal4:VP16+Reporter,3,31315,4.495752416037327
pCH4-Gal4:VP16+Reporter,1,94433,4.975123786813664
pCL1-Gal4:VP16+Reporter,1,8417,3.9251573271758984
pCL1-Gal4:VP16+Reporter,3,2390,3.3783979009481375
pCH1-Gal4:VP16+none,1,1189,3.0751818546186915
pCH1-Gal4:VP16+none,2,879,2.9439888750737717
pCH1-Gal4:VP16+none,3,881,2.944975908412048
pCH1-Gal4:VP16+none,1,966,2.9849771264154934
pCH1-Gal4:VP16+none,2,867,2.9380190974762104
pCH1-Gal4:VP16+none,3,989,2.9951962915971793
pCH1-Gal4:VP16+none,1,1210,3.0827853703164503
pCH1-Gal4:VP16+none,2,902,2.9552065375419416
pCH1-Gal4:VP16+none,3,822,2.9148718175400505
pCH1-Gal4:VP16+none,1,912,2.959994838328416
pCH1-Gal4:VP16+none,3,818,2.912753303671323
pCH1-Gal4:VP16+none,1,1255,3.098643725817057
pCH1-Gal4:VP16+none,2,992,2.9965116721541785
pCH1-Gal4:VP16+none,2,944,2.974971994298069
pCH1-Gal4:VP16+none,3,883,2.9459607035775686
pCH1-Gal4:VP16+none,1,1111,3.0457140589408676
pCH1-Gal4:VP16+none,2,880,2.9444826721501687
pCH1-Gal4:VP16+none,3,780,2.8920946026904804
